millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
591566,2026-07-02T19:35:09Z,17.05,-64.81,-0.03,89.8,46.3,1,26.811794,-80.256941,19.80,74.91,12,1,0.82,4.11,91,8.0,10.5,1.04
596570,2026-07-02T19:35:14Z,16.98,-64.82,-0.01,89.8,46.6,1,26.811775,-80.255875,20.90,76.62,12,1,0.84,4.10,90,17.4,2.9,1.00
601608,2026-07-02T19:35:19Z,23.56,-56.25,1.49,89.9,45.7,1,26.811764,-80.254811,21.70,75.65,11,2,0.85,4.10,90,18.9,-0.5,0.92
606608,2026-07-02T19:35:24Z,24.92,-57.06,-0.10,90.0,45.2,1,26.811741,-80.253756,21.40,76.19,11,2,0.89,4.10,90,20.7,1.4,0.92
611608,2026-07-02T19:35:29Z,27.31,-54.52,0.06,89.9,44.4,1,26.811714,-80.252661,21.20,79.90,12,9,0.81,4.10,90,18.1,5.8,1.03
616608,2026-07-02T19:35:34Z,27.02,-55.06,-0.23,90.0,43.4,1,26.811696,-80.251545,21.20,80.54,12,9,0.74,4.10,90,16.4,3.1,0.90
621637,2026-07-02T19:35:39Z,27.48,-53.41,0.31,89.9,42.1,1,26.811695,-80.250413,21.90,81.69,11,9,0.89,4.09,89,20.1,2.7,0.88
626657,2026-07-02T19:35:44Z,28.54,-53.26,0.05,89.8,40.6,1,26.811686,-80.249251,22.70,80.84,12,5,0.89,4.10,90,16.6,4.5,1.12
631667,2026-07-02T19:35:49Z,25.80,-56.00,-0.01,89.8,39.9,1,26.811690,-80.248139,24.30,77.82,11,1,0.89,4.10,90,15.5,5.8,0.91
636677,2026-07-02T19:35:54Z,24.69,-57.34,-0.05,89.7,39.2,1,26.811678,-80.247072,24.40,75.10,12,1,0.83,4.10,90,15.6,5.9,0.93
641685,2026-07-02T19:35:59Z,26.21,-55.51,0.04,89.7,38.7,1,26.811662,-80.246022,24.10,76.08,12,5,0.83,4.10,90,18.9,6.6,0.90
