millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
70046,,0.40,994.63,0.01,82.0,66.1,0,,,,,0,0,99.99,4.11,91,11.9,5.9,1.13
75082,,-1.66,992.70,-0.02,82.0,66.0,0,,,,,0,0,99.99,4.12,92,-27.9,-45.1,0.97
80082,,-2.29,992.26,0.37,82.0,64.8,0,,,,,0,0,99.99,4.13,93,-54.2,-168.8,0.99
85082,,-1.92,992.35,0.01,82.0,64.3,0,,,,,0,0,99.99,4.12,92,-53.8,-169.8,0.99
90083,,-2.00,992.24,-0.00,82.1,64.0,0,,,,,0,0,99.99,4.12,92,-53.7,-169.8,0.99
95083,,-1.94,992.32,0.01,82.1,63.7,0,,,,,0,0,99.99,4.11,91,-53.6,-169.8,0.99
100083,,-1.94,992.30,0.00,82.1,63.4,0,,,,,0,0,99.99,4.12,92,-53.6,-169.8,0.99
105083,,-1.84,992.41,0.01,82.1,63.2,0,,,,,0,0,99.99,4.13,93,-53.6,-169.8,0.99
110083,,-1.39,993.23,-0.04,82.1,63.0,0,,,,,0,1,99.99,4.11,91,-57.8,-24.4,1.20
115083,,-0.81,993.29,-0.03,82.2,62.7,0,,,,,0,1,99.99,4.13,93,-62.0,-0.1,1.12
120083,,-0.86,995.27,0.12,82.2,62.5,0,,,,,0,1,99.99,4.13,93,-61.6,-16.5,1.35
125083,,-0.66,993.59,0.05,82.2,62.4,0,,,,,0,1,99.99,4.13,93,-71.8,-107.7,1.00
130083,,-0.56,993.72,0.01,82.2,62.2,0,,,,,0,0,99.99,4.13,93,-71.8,-108.0,1.00
135083,,-0.52,993.72,-0.00,82.3,62.1,0,,,,,0,0,99.99,4.12,92,-71.7,-108.2,1.00
140083,,-0.53,993.69,0.00,82.3,61.9,0,,,,,0,0,99.99,4.12,92,-71.7,-108.1,1.00
145083,,-0.60,993.63,-0.00,82.4,61.8,0,,,,,0,0,99.99,4.11,91,-71.7,-108.2,1.00
150083,,-0.66,993.61,-0.01,82.4,61.7,0,,,,,0,0,99.99,4.11,91,-71.7,-108.3,1.00
155083,,-0.66,993.58,-0.00,82.4,61.6,0,,,,,0,1,99.99,4.12,92,-71.7,-108.2,1.00
160083,,-0.65,993.60,0.00,82.4,61.4,0,,,,,0,1,99.99,4.12,92,-71.7,-108.3,1.00
165083,,-0.66,993.48,0.03,82.4,61.3,0,,,,,0,0,99.99,4.11,91,-75.8,-103.9,1.00
170083,,-0.83,993.37,-0.00,82.5,61.2,0,,,,,0,0,99.99,4.12,92,-75.9,-104.1,1.01
175083,,-0.95,993.28,-0.00,82.4,61.1,0,,,,,0,0,99.99,4.11,91,-75.6,-104.3,1.00
180083,,-1.00,993.24,0.00,82.5,61.0,0,,,,,0,0,99.99,4.12,92,-76.4,-103.0,1.00
185083,,-1.16,993.05,-0.02,82.5,60.9,0,,,,,0,0,99.99,4.11,91,-75.9,-103.7,1.01
190083,,-1.14,993.10,0.01,82.5,60.8,0,,,,,0,0,99.99,4.11,91,-74.2,-110.2,1.01
195083,,-6.74,988.08,-1.83,82.5,60.7,0,,,,,0,0,99.99,4.11,91,-51.1,-176.2,1.03
200083,,-0.36,992.82,0.13,82.6,60.6,0,,,,,0,0,99.99,4.11,91,-66.9,-2.7,1.32
205083,,1.59,996.56,1.28,82.7,60.5,0,,,,,0,0,99.99,4.12,92,-82.1,37.3,0.95
210083,,-1.22,993.15,-0.01,82.6,60.5,0,,,,,0,0,99.99,4.13,93,-66.6,2.1,0.97
215083,,0.15,994.84,1.41,82.7,60.5,0,,,,,0,0,99.99,4.12,92,-76.3,33.4,0.81
