millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
100276,2026-07-06T11:20:36Z,172.50,1181.71,0.04,91.6,44.2,1,46.955298,8.277577,439.10,0.30,12,9,0.85,,,3.6,0.3,1.01
105276,2026-07-06T11:20:41Z,172.49,1181.67,0.01,91.7,43.7,1,46.955298,8.277575,438.70,0.17,12,5,0.94,,,0.5,0.3,1.01
110314,2026-07-06T11:20:46Z,172.56,1181.70,-0.00,91.6,43.2,1,46.955296,8.277577,438.60,0.09,12,5,0.89,,,3.7,0.4,1.00
115339,2026-07-06T11:20:51Z,172.55,1181.66,-0.01,91.6,43.6,1,46.955293,8.277579,438.80,0.59,12,5,0.89,,,5.5,-0.4,1.96
120364,2026-07-06T11:20:56Z,172.53,1181.64,-0.02,91.7,44.0,1,46.955294,8.277580,438.80,0.15,12,6,0.89,,,2.7,0.3,1.01
125382,2026-07-06T11:21:01Z,172.45,1181.63,0.02,91.7,43.7,1,46.955293,8.277580,438.60,0.11,12,6,0.91,,,2.6,0.2,1.01
130400,2026-07-06T11:21:06Z,172.39,1181.55,0.01,91.7,43.6,1,46.955293,8.277581,438.80,0.30,12,6,0.88,,,2.7,0.2,1.01
135419,2026-07-06T11:21:11Z,172.66,1181.84,-0.02,91.6,43.3,1,46.955293,8.277582,438.50,0.11,12,5,0.84,,,2.7,0.3,1.01
140441,2026-07-06T11:21:16Z,172.66,1181.78,0.01,91.7,43.5,1,46.955294,8.277583,438.50,0.26,12,6,0.89,,,2.7,0.2,1.01
145457,2026-07-06T11:21:21Z,172.54,1181.68,-0.02,91.8,43.8,1,46.955294,8.277585,438.30,0.35,12,6,0.86,,,2.7,0.3,1.01
150477,2026-07-06T11:21:26Z,172.64,1181.79,-0.01,91.8,44.1,1,46.955293,8.277584,438.20,0.15,12,6,0.89,,,3.1,0.5,1.01
155486,2026-07-06T11:21:31Z,172.57,1181.73,-0.01,91.9,43.8,1,46.955293,8.277584,437.80,0.24,12,9,0.84,,,3.1,0.5,1.01
160514,2026-07-06T11:21:36Z,172.36,1181.52,-0.02,91.9,44.2,1,46.955292,8.277583,437.50,0.00,12,6,0.84,,,2.6,0.2,1.01
165526,2026-07-06T11:21:41Z,172.26,1181.42,0.02,91.9,44.4,1,46.955291,8.277582,437.20,0.17,12,9,0.85,,,2.6,0.2,1.01
170543,2026-07-06T11:21:46Z,172.17,1181.39,0.01,91.9,43.0,1,46.955290,8.277579,436.80,0.11,12,5,0.85,,,2.6,0.2,1.01
175574,2026-07-06T11:21:51Z,172.18,1181.35,0.02,91.8,43.0,1,46.955290,8.277577,436.60,0.52,12,5,0.85,,,2.6,0.2,1.01
180589,2026-07-06T11:21:56Z,171.90,1181.03,-0.01,91.9,43.2,1,46.955291,8.277579,436.50,0.81,12,4,0.95,,,2.6,0.7,1.01
185606,2026-07-06T11:22:01Z,171.75,1180.91,-0.02,91.8,42.7,1,46.955292,8.277580,436.50,0.33,12,4,0.84,,,2.6,0.2,1.01
190633,2026-07-06T11:22:06Z,171.74,1180.89,-0.01,91.9,40.8,1,46.955293,8.277582,436.50,0.09,12,5,0.86,,,3.0,0.3,1.01
