millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
15013,2026-07-06T10:37:05Z,168.16,1177.35,0.02,85.6,51.8,0,,,,,0,2,99.99,4.02,82,43.2,3.6,0.99
20013,2026-07-06T10:37:10Z,166.41,1175.68,-0.11,85.5,49.4,0,,,,,0,2,99.99,4.04,84,-44.8,-79.6,1.12
25016,2026-07-06T10:37:15Z,166.26,1175.43,0.02,85.4,53.6,0,,,,,0,2,99.99,4.03,83,-32.3,-12.3,0.84
30016,2026-07-06T10:37:20Z,168.46,1177.66,0.01,85.3,51.0,0,,,,,0,2,99.99,4.02,82,36.2,-9.7,1.03
35047,2026-07-06T10:37:25Z,168.63,1177.81,0.02,85.2,49.2,0,,,,,0,2,99.99,4.06,86,43.7,-12.9,0.94
40047,2026-07-06T10:37:30Z,168.52,1177.69,0.03,85.1,50.6,0,,,,,0,2,99.99,4.05,85,46.4,-13.0,0.78
45047,2026-07-06T10:37:35Z,167.61,1176.78,-0.04,85.3,49.9,0,,,,,0,3,99.99,4.03,83,16.9,38.9,0.90
50047,2026-07-06T10:37:40Z,167.62,1176.76,-0.00,85.5,50.2,0,,,,,0,3,99.99,4.07,87,18.4,34.8,0.97
55047,2026-07-06T10:37:45Z,168.37,1177.51,-0.00,85.4,50.8,0,,,,,0,4,99.99,4.03,83,-19.3,83.9,1.13
60047,2026-07-06T10:37:50Z,169.39,1178.55,0.02,85.4,51.0,0,,,,,0,3,99.99,4.04,84,-22.0,122.9,0.98
65047,2026-07-06T10:37:55Z,169.31,1178.48,0.03,85.4,49.7,0,,,,,0,3,99.99,4.05,85,-23.4,113.4,0.98
70047,2026-07-06T10:38:00Z,169.28,1178.52,0.03,85.5,49.4,0,,,,,0,3,99.99,4.01,81,-22.2,119.8,1.05
75047,2026-07-06T10:38:05Z,165.60,1174.65,-0.29,85.4,49.4,0,,,,,0,3,99.99,4.06,86,11.2,3.5,1.01
80048,2026-07-06T10:38:10Z,165.44,1174.59,-0.00,85.4,49.0,0,,,,,0,3,99.99,4.05,85,14.5,-1.3,1.01
85048,2026-07-06T10:38:15Z,165.57,1174.76,0.02,85.3,48.9,0,,,,,0,3,99.99,4.04,84,14.6,-0.7,1.03
90058,2026-07-06T10:38:20Z,168.21,1177.35,-0.00,86.0,52.1,0,,,,,0,3,99.99,4.05,85,15.0,-16.6,1.00
95059,2026-07-06T10:38:25Z,168.27,1177.39,-0.02,86.5,52.0,0,,,,,0,3,99.99,4.02,82,6.7,-6.0,1.15
100059,2026-07-06T10:38:30Z,168.15,1177.29,-0.07,87.2,54.7,0,,,,,0,3,99.99,4.04,84,-43.9,9.7,0.76
105062,2026-07-06T10:38:35Z,168.20,1177.35,-0.03,87.6,52.9,0,,,,,0,3,99.99,4.05,85,-59.7,22.8,0.93
110063,2026-07-06T10:38:40Z,168.16,1177.36,0.02,87.5,49.0,0,,,,,0,3,99.99,4.03,83,-61.8,16.8,1.03
115063,2026-07-06T10:38:45Z,168.30,1177.47,0.02,87.7,48.4,0,,,,,0,3,99.99,4.06,86,32.0,0.5,0.91
120063,2026-07-06T10:38:50Z,168.43,1177.51,-0.00,87.7,50.9,0,,,,,0,4,99.99,4.03,83,32.8,-0.8,1.09
125064,2026-07-06T10:38:55Z,168.19,1177.33,-0.02,87.9,49.1,0,,,,,0,3,99.99,4.05,85,31.0,-6.4,1.00
130083,2026-07-06T10:39:00Z,168.14,1177.29,0.00,88.2,51.0,0,,,,,0,4,99.99,4.03,83,17.3,-2.3,0.99
135083,2026-07-06T10:39:05Z,168.13,1177.32,0.02,88.6,52.5,0,,,,,0,4,99.99,4.03,83,17.9,11.7,0.92
140083,2026-07-06T10:39:10Z,167.93,1177.07,-0.01,88.2,51.8,0,,,,,0,4,99.99,4.04,84,-8.4,1.0,0.72
145083,2026-07-06T10:39:15Z,168.08,1177.23,-0.00,88.5,49.1,0,,,,,0,4,99.99,4.05,85,-6.2,-1.2,1.03
150083,2026-07-06T10:39:20Z,168.03,1177.21,0.02,89.1,50.4,0,,,,,0,4,99.99,4.05,85,-15.5,7.8,0.96
155100,2026-07-06T10:39:25Z,167.97,1177.11,-0.01,89.1,47.9,0,,,,,3,2,11.59,4.03,83,-28.0,4.2,1.02
160107,2026-07-06T10:39:30Z,166.86,1175.99,0.00,88.8,46.3,0,,,,,4,2,14.46,4.05,85,-36.1,68.5,1.38
165107,2026-07-06T10:39:35Z,166.33,1175.46,-0.03,88.7,47.4,0,,,,,4,2,14.57,4.04,84,-13.8,-7.8,1.02
170115,2026-07-06T10:39:40Z,166.30,1175.45,-0.02,88.6,49.1,0,,,,,4,2,14.68,4.04,84,11.5,-14.0,1.26
175117,2026-07-06T10:39:45Z,166.44,1175.58,-0.01,88.5,49.8,0,,,,,4,2,14.80,4.04,84,30.3,17.5,1.01
180117,2026-07-06T10:39:50Z,166.40,1175.55,-0.00,88.5,50.8,0,,,,,4,2,14.91,4.07,87,26.1,19.9,1.01
185117,2026-07-06T10:39:55Z,166.63,1175.82,0.01,88.4,49.2,0,,,,,4,2,15.03,4.05,85,-0.9,43.3,1.03
190117,2026-07-06T10:40:00Z,166.61,1175.72,-0.00,88.4,50.8,0,,,,,4,2,15.15,4.04,84,21.7,27.5,0.96
195118,2026-07-06T10:40:05Z,166.61,1175.76,-0.01,88.4,52.8,0,,,,,4,2,15.28,4.04,84,8.8,50.2,1.00
200118,2026-07-06T10:40:10Z,166.76,1175.91,0.01,88.4,52.4,0,,,,,4,3,15.40,4.06,86,7.1,49.4,1.02
205120,2026-07-06T10:40:15Z,166.57,1175.71,0.00,88.3,51.2,0,,,,,4,2,15.53,4.06,86,26.5,26.4,1.14
210124,2026-07-06T10:40:20Z,166.85,1175.89,-0.02,88.4,50.4,0,,,,,4,2,15.66,4.05,85,15.9,45.0,1.01
215124,2026-07-06T10:40:25Z,166.81,1175.97,0.01,88.3,49.9,0,,,,,4,2,15.79,4.05,85,16.2,46.3,1.12
220130,2026-07-06T10:40:30Z,166.83,1176.00,0.01,88.3,48.0,0,,,,,4,4,15.92,4.04,84,30.1,46.9,1.00
225130,2026-07-06T10:40:35Z,166.74,1175.92,0.00,88.2,47.5,0,,,,,4,4,16.06,4.04,84,35.8,20.0,0.99
230154,2026-07-06T10:40:40Z,166.64,1175.78,-0.01,88.1,47.2,0,,,,,4,4,16.20,4.02,82,26.7,22.6,1.00
235158,2026-07-06T10:40:45Z,166.57,1175.73,0.00,88.1,46.9,0,,,,,4,2,16.34,4.02,82,28.5,22.0,1.01
240165,2026-07-06T10:40:50Z,166.55,1175.70,0.00,88.1,46.4,0,,,,,4,2,16.48,4.03,83,25.7,21.3,1.03
245166,2026-07-06T10:40:55Z,166.39,1175.50,-0.03,88.1,51.2,0,,,,,4,2,16.63,4.05,85,31.2,21.7,1.01
250166,2026-07-06T10:41:00Z,166.27,1175.45,0.01,88.1,51.9,0,,,,,4,2,16.78,4.04,84,28.2,21.3,1.02
