millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
1595196,2026-07-06T12:13:25Z,12.54,1194.10,-0.00,96.8,41.8,1,46.955328,8.277036,430.10,0.72,12,7,1.25,3.98,78,6.0,-0.9,1.01
1600209,2026-07-06T12:13:30Z,12.53,1194.17,0.01,96.7,42.5,1,46.955331,8.277036,429.00,0.72,12,5,1.14,3.97,77,-0.9,-12.3,0.89
1605241,2026-07-06T12:13:35Z,12.03,1193.81,0.05,96.7,41.6,1,46.955342,8.277012,426.00,0.35,12,4,0.88,3.97,77,28.3,-77.0,1.10
1610277,2026-07-06T12:13:40Z,10.15,1191.87,-0.38,96.6,41.4,1,46.955330,8.277033,428.70,0.24,12,9,0.67,3.98,78,23.7,-66.8,0.95
1615316,2026-07-06T12:13:45Z,13.84,1196.49,0.80,96.7,41.3,1,46.955319,8.277047,430.40,0.78,12,3,0.85,3.99,79,14.3,-100.6,0.95
1620347,2026-07-06T12:13:50Z,11.50,1192.21,-0.35,96.7,41.3,1,46.955318,8.277053,432.00,1.57,12,3,0.68,3.98,78,26.3,-100.6,0.96
1625367,2026-07-06T12:13:55Z,11.23,1191.27,-0.51,96.6,41.3,1,46.955317,8.277054,434.00,0.57,12,4,0.80,3.97,77,29.9,-101.4,1.62
1630398,2026-07-06T12:14:00Z,11.76,1193.18,-0.02,96.6,41.3,1,46.955314,8.277072,435.90,1.63,12,4,0.82,3.97,77,19.2,-105.2,1.07
1635398,2026-07-06T12:14:05Z,11.74,1193.42,-0.00,96.5,41.3,1,46.955313,8.277083,437.60,0.83,12,4,0.75,3.98,78,25.3,-111.5,0.99
1640407,2026-07-06T12:14:10Z,12.40,1194.01,0.02,96.6,41.4,1,46.955314,8.277099,439.50,2.22,12,4,0.76,3.97,77,24.5,-104.8,1.03
1645445,2026-07-06T12:14:15Z,12.51,1194.37,0.07,96.5,41.3,1,46.955305,8.277111,441.30,1.22,12,4,0.69,3.99,79,32.3,-110.6,0.88
1650447,2026-07-06T12:14:20Z,12.07,1193.66,-0.01,96.5,41.3,1,46.955303,8.277112,442.00,0.56,12,3,0.76,3.97,77,24.3,-110.9,0.96
1655458,2026-07-06T12:14:25Z,11.59,1193.09,-0.18,96.5,41.4,1,46.955306,8.277107,441.30,1.04,12,3,0.87,3.98,78,24.1,-101.2,0.91
1660458,2026-07-06T12:14:30Z,13.08,1196.17,0.77,96.5,41.4,1,46.955309,8.277091,440.30,0.57,12,6,0.88,3.98,78,30.1,-92.6,1.01
