millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
366095,2026-07-02T19:31:24Z,10.90,-70.93,-0.02,90.2,38.5,1,26.806467,-80.274013,17.00,21.52,11,8,0.89,,,31.0,-8.7,1.02
371095,2026-07-02T19:31:29Z,11.77,-70.01,0.02,90.3,38.2,1,26.806460,-80.274321,17.50,19.15,12,8,0.85,,,34.7,3.9,0.97
376107,2026-07-02T19:31:34Z,12.16,-69.51,0.08,90.3,37.7,1,26.806473,-80.274660,19.30,23.95,12,8,0.84,,,25.4,3.0,1.03
381107,2026-07-02T19:31:39Z,12.94,-68.90,0.02,90.4,37.0,1,26.806476,-80.275012,20.80,25.15,11,8,0.89,,,22.3,-1.5,0.99
386107,2026-07-02T19:31:44Z,11.46,-70.57,-0.26,90.4,37.0,1,26.806502,-80.275366,22.40,24.24,12,8,0.90,,,4.0,13.3,0.91
391117,2026-07-02T19:31:49Z,10.88,-71.06,-0.06,90.4,34.5,1,26.806503,-80.275719,21.50,22.06,12,8,0.84,,,13.6,-0.4,0.97
396123,2026-07-02T19:31:54Z,10.26,-71.40,0.09,90.4,34.1,1,26.806511,-80.276020,23.10,22.87,12,8,0.84,,,18.3,-13.3,1.13
401123,2026-07-02T19:31:59Z,11.03,-70.74,0.00,90.4,35.0,1,26.806514,-80.276306,23.00,21.76,10,8,0.90,,,12.2,6.1,1.03
406129,2026-07-02T19:32:04Z,11.02,-70.81,0.00,90.5,35.7,1,26.806522,-80.276589,26.60,18.54,11,8,0.95,,,11.8,3.7,0.97
411133,2026-07-02T19:32:09Z,10.87,-70.86,0.03,90.4,34.7,1,26.806537,-80.276880,31.30,21.76,10,8,0.99,4.10,90,11.1,10.4,0.98
416135,2026-07-02T19:32:14Z,10.99,-70.57,0.07,90.2,32.2,1,26.806546,-80.277155,30.60,15.78,12,8,0.88,4.10,90,10.7,12.7,0.97
