millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
20045,2026-07-02T22:19:33Z,13.51,-68.28,0.00,82.2,35.9,0,,,,,0,14,99.99,4.12,92,28.7,1.3,1.02
25051,2026-07-02T22:19:38Z,13.62,-68.16,0.01,82.2,36.3,0,,,,,0,14,99.99,4.13,93,-0.4,-0.1,1.02
30059,2026-07-02T22:19:43Z,13.73,-68.05,-0.00,82.2,35.8,0,,,,,0,14,99.99,4.12,92,-0.4,-0.2,1.01
35067,2026-07-02T22:19:48Z,13.60,-68.18,-0.01,82.2,35.2,0,,,,,0,14,99.99,4.12,92,-0.3,-0.1,1.01
40077,2026-07-02T22:19:53Z,13.49,-68.34,-0.03,82.2,35.1,0,,,,,0,14,99.99,4.12,92,-0.3,-0.1,1.01
45087,2026-07-02T22:19:58Z,13.38,-68.39,0.00,82.3,35.0,0,,,,,0,14,99.99,4.13,93,-0.3,-0.1,1.01
50094,2026-07-02T22:20:03Z,13.43,-68.35,-0.00,82.3,34.9,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
55099,2026-07-02T22:20:08Z,13.61,-68.17,0.00,82.3,34.8,0,,,,,0,14,99.99,4.12,92,-0.4,-0.2,1.01
60110,2026-07-02T22:20:13Z,13.60,-68.17,-0.00,82.2,34.7,0,,,,,0,13,99.99,4.11,91,-0.4,-0.1,1.01
65136,2026-07-02T22:20:18Z,13.53,-68.26,-0.00,82.2,34.6,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
70148,2026-07-02T22:20:23Z,13.76,-68.00,0.02,82.2,34.6,0,,,,,0,11,99.99,4.11,91,-0.3,-0.2,1.01
75163,2026-07-02T22:20:28Z,13.88,-67.93,-0.01,82.3,34.6,0,,,,,0,11,99.99,4.12,92,-0.3,-0.1,1.01
80175,2026-07-02T22:20:33Z,13.73,-68.07,-0.01,82.3,34.5,0,,,,,0,12,99.99,4.11,91,-0.3,-0.2,1.01
85191,2026-07-02T22:20:38Z,13.57,-68.20,-0.00,82.3,34.5,0,,,,,0,12,99.99,4.11,91,-0.4,-0.1,1.01
90208,2026-07-02T22:20:43Z,13.45,-68.32,-0.01,82.3,34.5,0,,,,,0,13,99.99,4.12,92,-0.4,-0.1,1.01
95221,2026-07-02T22:20:48Z,13.39,-68.39,0.00,82.3,34.5,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.02
100238,2026-07-02T22:20:53Z,13.47,-68.30,0.01,82.2,34.5,0,,,,,0,14,99.99,4.11,91,-0.3,-0.2,1.01
105243,2026-07-02T22:20:58Z,13.56,-68.21,0.00,82.3,34.5,0,,,,,0,14,99.99,4.11,91,-0.6,-0.2,1.01
110246,2026-07-02T22:21:03Z,13.64,-68.13,0.01,82.3,34.5,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
115257,2026-07-02T22:21:08Z,13.75,-68.03,0.01,82.3,34.5,0,,,,,0,13,99.99,4.12,92,-0.4,-0.1,1.01
120266,2026-07-02T22:21:13Z,13.81,-67.96,0.01,82.3,34.5,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
125271,2026-07-02T22:21:18Z,13.71,-68.07,-0.01,82.2,34.4,0,,,,,0,14,99.99,4.11,91,-0.3,-0.1,1.01
130280,2026-07-02T22:21:23Z,13.59,-68.22,-0.00,82.3,34.4,0,,,,,0,14,99.99,4.12,92,-0.3,-0.0,1.02
135284,2026-07-02T22:21:28Z,13.56,-68.21,0.00,82.3,34.5,0,,,,,0,14,99.99,4.11,91,-0.3,-0.1,1.01
140288,2026-07-02T22:21:33Z,13.56,-68.23,0.00,82.3,34.4,0,,,,,0,14,99.99,4.11,91,-0.3,-0.1,1.01
145291,2026-07-02T22:21:38Z,13.63,-68.16,-0.01,82.3,34.4,0,,,,,0,14,99.99,4.13,93,-0.3,-0.2,1.01
150292,2026-07-02T22:21:43Z,13.63,-68.18,-0.00,82.3,34.4,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
155293,2026-07-02T22:21:48Z,13.69,-68.08,0.01,82.3,34.3,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
160300,2026-07-02T22:21:53Z,13.82,-67.96,0.00,82.3,34.3,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
165306,2026-07-02T22:21:58Z,13.79,-68.03,-0.01,82.3,34.4,0,,,,,0,13,99.99,4.12,92,-0.3,-0.2,1.01
170323,2026-07-02T22:22:03Z,13.70,-68.11,-0.01,82.3,34.3,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
175337,2026-07-02T22:22:08Z,13.69,-68.07,0.00,82.3,34.2,0,,,,,0,13,99.99,4.11,91,-0.4,-0.1,1.01
180347,2026-07-02T22:22:13Z,13.69,-68.10,-0.00,82.3,34.3,0,,,,,0,13,99.99,4.11,91,-0.3,-0.1,1.01
185365,2026-07-02T22:22:18Z,13.60,-68.17,0.00,82.3,34.3,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
190382,2026-07-02T22:22:23Z,13.57,-68.22,-0.00,82.3,34.3,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
195400,2026-07-02T22:22:28Z,13.65,-68.10,0.01,82.3,34.2,0,,,,,0,14,99.99,4.12,92,-0.3,-0.1,1.01
200417,2026-07-02T22:22:33Z,13.77,-68.01,0.01,82.4,34.3,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.00
205426,2026-07-02T22:22:38Z,13.94,-67.81,0.01,82.3,34.3,0,,,,,0,14,99.99,4.13,93,-0.3,-0.2,1.01
210440,2026-07-02T22:22:43Z,14.01,-67.75,0.00,82.3,34.2,0,,,,,0,14,99.99,4.11,91,-0.3,-0.1,1.01
215444,2026-07-02T22:22:48Z,13.92,-67.84,-0.01,82.3,34.2,0,,,,,0,14,99.99,4.11,91,-0.4,-0.3,1.01
220461,2026-07-02T22:22:53Z,13.79,-68.00,-0.02,82.3,34.2,0,,,,,0,13,99.99,4.11,91,-0.4,-0.2,1.01
225482,2026-07-02T22:22:58Z,13.67,-68.13,-0.01,82.4,34.1,0,,,,,0,13,99.99,4.11,91,-0.3,-0.1,1.01
230494,2026-07-02T22:23:03Z,13.70,-68.07,0.00,82.4,34.2,0,,,,,0,13,99.99,4.12,92,-0.3,-0.2,1.01
235513,2026-07-02T22:23:08Z,13.85,-67.93,0.01,82.3,34.2,0,,,,,0,13,99.99,4.11,91,-0.3,-0.1,1.01
240528,2026-07-02T22:23:13Z,13.90,-67.86,0.00,82.4,34.1,0,,,,,0,13,99.99,4.12,92,-0.2,0.0,1.01
245550,2026-07-02T22:23:18Z,13.82,-67.96,-0.00,82.4,34.2,0,,,,,0,13,99.99,4.11,91,-0.4,-0.1,1.01
250575,2026-07-02T22:23:23Z,13.72,-68.05,0.00,82.3,34.1,0,,,,,0,13,99.99,4.11,91,-0.3,-0.2,1.01
255589,2026-07-02T22:23:28Z,13.74,-68.03,0.00,82.4,34.1,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
260601,2026-07-02T22:23:33Z,13.80,-67.94,0.01,82.4,34.2,0,,,,,0,14,99.99,4.13,93,-0.3,-0.1,1.01
265612,2026-07-02T22:23:38Z,13.87,-67.91,0.00,82.4,34.1,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
270636,2026-07-02T22:23:43Z,13.93,-67.89,-0.00,82.3,34.1,0,,,,,0,13,99.99,4.10,90,-0.3,-0.1,1.01
275646,2026-07-02T22:23:48Z,14.04,-67.74,0.01,82.4,34.1,0,,,,,0,14,99.99,4.10,90,-0.3,-0.1,1.01
280654,2026-07-02T22:23:53Z,14.06,-67.71,0.01,82.4,34.1,0,,,,,0,14,99.99,4.12,92,-0.3,-0.1,1.01
285667,2026-07-02T22:23:58Z,14.08,-67.68,0.01,82.3,34.1,0,,,,,0,13,99.99,4.11,91,-0.4,-0.2,1.00
290687,2026-07-02T22:24:03Z,14.13,-67.65,-0.00,82.3,34.1,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
295698,2026-07-02T22:24:08Z,14.09,-67.72,-0.01,82.3,34.1,0,,,,,0,13,99.99,4.11,91,-0.2,-0.1,1.00
300719,2026-07-02T22:24:13Z,14.16,-67.58,0.01,82.4,34.1,0,,,,,0,13,99.99,4.11,91,-0.4,-0.3,1.00
305732,2026-07-02T22:24:18Z,14.17,-67.65,-0.01,82.4,34.0,0,,,,,0,13,99.99,4.11,91,-0.5,-0.4,1.00
310747,2026-07-02T22:24:23Z,14.06,-67.72,-0.00,82.4,34.1,0,,,,,0,13,99.99,4.11,91,-0.6,-0.3,1.01
315767,2026-07-02T22:24:28Z,14.22,-67.53,0.02,82.4,34.1,0,,,,,0,13,99.99,4.12,92,-0.4,-0.2,1.01
320778,2026-07-02T22:24:33Z,14.25,-67.53,-0.00,82.4,34.0,0,,,,,0,13,99.99,4.12,92,-0.5,-0.3,1.01
325801,2026-07-02T22:24:38Z,14.20,-67.56,0.01,82.3,34.0,0,,,,,0,13,99.99,4.11,91,-0.3,-0.1,1.01
330819,2026-07-02T22:24:43Z,14.07,-67.75,-0.02,82.4,34.1,0,,,,,0,14,99.99,4.11,91,-0.3,-0.1,1.01
335830,2026-07-02T22:24:48Z,13.93,-67.86,-0.01,82.4,34.1,0,,,,,0,14,99.99,4.12,92,-0.4,-0.2,1.01
340838,2026-07-02T22:24:53Z,13.84,-67.96,-0.01,82.4,34.0,0,,,,,0,14,99.99,4.11,91,-0.4,-0.1,1.02
345851,2026-07-02T22:24:58Z,13.74,-68.06,-0.01,82.3,34.1,0,,,,,0,14,99.99,4.12,92,-0.6,-0.5,1.00
350859,2026-07-02T22:25:03Z,13.61,-68.17,-0.01,82.4,34.1,0,,,,,0,14,99.99,4.13,93,-0.5,-0.1,1.02
355867,2026-07-02T22:25:08Z,13.57,-68.20,0.00,82.3,34.1,0,,,,,0,14,99.99,4.13,93,-0.3,-0.1,1.01
360886,2026-07-02T22:25:14Z,13.74,-68.04,0.00,82.3,34.1,0,,,,,0,13,99.99,4.11,91,-0.4,-0.2,1.01
365910,2026-07-02T22:25:19Z,13.78,-68.00,0.00,82.3,34.1,0,,,,,0,13,99.99,4.12,92,-0.3,-0.1,1.01
370919,2026-07-02T22:25:24Z,13.80,-67.94,0.02,82.3,34.1,0,,,,,0,14,99.99,4.11,91,-0.3,-0.1,1.02
375930,2026-07-02T22:25:29Z,13.73,-68.07,-0.00,82.3,34.1,0,,,,,0,14,99.99,4.13,93,-0.3,-0.1,1.01
380943,2026-07-02T22:25:34Z,13.58,-68.66,-0.14,82.3,34.0,0,,,,,0,14,99.99,4.13,93,-0.3,-0.1,1.01
385953,2026-07-02T22:25:39Z,13.87,-67.84,0.16,82.3,34.1,0,,,,,0,14,99.99,4.12,92,-0.4,-0.3,1.01
390964,2026-07-02T22:25:44Z,14.11,-67.68,0.01,82.3,34.1,0,,,,,0,14,99.99,4.10,90,-0.4,-0.2,1.01
395980,2026-07-02T22:25:49Z,14.13,-67.69,-0.02,82.3,34.0,0,,,,,0,13,99.99,4.12,92,-0.4,-0.2,1.01
400997,2026-07-02T22:25:54Z,13.91,-67.89,-0.01,82.3,34.1,0,,,,,0,13,99.99,4.11,91,-0.3,-0.1,1.01
406016,2026-07-02T22:25:59Z,13.96,-67.81,0.01,82.3,34.0,0,,,,,0,13,99.99,4.11,91,-0.3,-0.1,1.01
411029,2026-07-02T22:26:04Z,14.01,-67.78,0.00,82.3,34.0,0,,,,,0,12,99.99,4.11,91,-0.4,-0.2,1.01
416034,2026-07-02T22:26:09Z,14.01,-67.77,0.00,82.3,34.0,0,,,,,0,12,99.99,4.11,91,-0.3,-0.1,1.01
421046,2026-07-02T22:26:14Z,13.89,-67.89,-0.01,82.3,34.0,0,,,,,0,13,99.99,4.11,91,-0.3,-0.2,1.01
426065,2026-07-02T22:26:19Z,13.78,-68.01,-0.00,82.3,34.0,0,,,,,0,13,99.99,4.11,91,-0.3,-0.2,1.01
431087,2026-07-02T22:26:24Z,13.79,-67.96,0.01,82.3,34.0,0,,,,,0,13,99.99,4.12,92,-0.3,-0.2,1.01
436097,2026-07-02T22:26:29Z,14.08,-67.69,0.02,82.3,34.1,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
441107,2026-07-02T22:26:34Z,14.19,-67.58,0.00,82.3,34.0,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
446118,2026-07-02T22:26:39Z,14.21,-67.56,-0.00,82.3,34.1,0,,,,,0,13,99.99,4.13,93,-0.3,-0.1,1.01
451136,2026-07-02T22:26:44Z,14.26,-67.53,-0.01,82.2,34.1,0,,,,,0,14,99.99,4.11,91,-0.3,-0.2,1.01
456144,2026-07-02T22:26:49Z,14.08,-67.74,-0.01,82.3,34.0,0,,,,,0,14,99.99,4.11,91,-0.4,-0.1,1.01
461163,2026-07-02T22:26:54Z,14.03,-67.75,0.00,82.3,34.1,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
466170,2026-07-02T22:26:59Z,14.12,-67.66,0.01,82.3,34.0,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
471180,2026-07-02T22:27:04Z,14.00,-67.81,-0.02,82.3,34.0,0,,,,,0,14,99.99,4.11,91,-0.3,-0.2,1.01
476184,2026-07-02T22:27:09Z,13.97,-67.81,-0.00,82.3,34.0,0,,,,,0,14,99.99,4.12,92,-0.3,-0.2,1.01
481197,2026-07-02T22:27:14Z,14.04,-67.73,0.01,82.2,34.1,0,,,,,0,13,99.99,4.02,82,-0.3,-0.1,1.01
486219,2026-07-02T22:27:19Z,14.24,-67.55,0.01,82.2,34.1,0,,,,,0,13,99.99,4.10,90,-0.4,-0.2,1.01
491225,2026-07-02T22:27:24Z,14.15,-67.64,-0.02,82.3,34.1,0,,,,,0,13,99.99,4.12,92,-0.4,-0.2,1.01
496236,2026-07-02T22:27:29Z,14.05,-67.70,-0.00,82.2,34.1,0,,,,,0,12,99.99,4.10,90,-0.4,-0.2,1.01
501239,2026-07-02T22:27:34Z,14.06,-67.72,0.00,82.2,34.1,0,,,,,0,11,99.99,4.11,91,-0.3,-0.1,1.01
506247,2026-07-02T22:27:39Z,14.27,-67.49,0.02,82.3,34.1,0,,,,,0,12,99.99,4.11,91,-0.3,-0.1,1.01
511253,2026-07-02T22:27:44Z,14.38,-67.41,-0.00,82.2,34.0,0,,,,,0,13,99.99,4.11,91,-0.4,-0.2,1.01
516265,2026-07-02T22:27:49Z,14.28,-67.52,-0.01,82.2,34.1,0,,,,,0,13,99.99,4.10,90,-0.3,-0.2,1.01
521270,2026-07-02T22:27:54Z,14.19,-67.59,-0.00,82.2,34.0,0,,,,,0,13,99.99,4.11,91,-0.3,-0.2,1.01
526274,2026-07-02T22:27:59Z,14.24,-67.53,0.00,82.2,34.0,0,,,,,0,14,99.99,4.11,91,-0.3,-0.1,1.01
531277,2026-07-02T22:28:04Z,13.84,-68.15,-0.13,82.2,34.0,0,,,,,0,13,99.99,4.10,90,-0.3,-0.1,1.01
536286,2026-07-02T22:28:09Z,14.28,-67.50,0.01,82.3,34.0,0,,,,,0,13,99.99,4.11,91,-0.4,-0.2,1.01
541296,2026-07-02T22:28:14Z,14.29,-67.48,-0.00,82.2,34.0,0,,,,,0,11,99.99,4.11,91,-0.3,-0.2,1.01
546307,2026-07-02T22:28:19Z,14.29,-67.51,-0.00,82.2,34.3,0,,,,,0,11,99.99,4.11,91,-0.3,-0.2,1.01
551317,2026-07-02T22:28:24Z,14.31,-67.45,-0.00,82.2,35.3,0,,,,,0,11,99.99,4.11,91,-0.3,-0.2,1.01
556334,2026-07-02T22:28:29Z,14.26,-67.53,0.00,82.2,34.9,0,,,,,0,13,99.99,4.10,90,-0.4,-0.1,1.01
561351,2026-07-02T22:28:34Z,14.17,-67.62,-0.01,82.2,34.9,0,,,,,0,13,99.99,4.10,90,-0.3,-0.1,1.01
566380,2026-07-02T22:28:39Z,14.16,-67.62,0.01,82.2,34.9,0,,,,,0,13,99.99,4.10,90,-0.4,-0.2,1.01
571394,2026-07-02T22:28:44Z,14.31,-67.46,0.02,82.2,34.9,0,,,,,0,13,99.99,4.11,91,-0.4,-0.2,1.01
576405,2026-07-02T22:28:49Z,14.48,-67.30,0.00,82.2,34.6,0,,,,,0,13,99.99,4.11,91,-0.3,-0.2,1.01
581425,2026-07-02T22:28:54Z,14.42,-67.36,-0.01,82.2,34.5,0,,,,,0,13,99.99,4.11,91,-0.5,-0.2,1.01
586450,2026-07-02T22:28:59Z,14.40,-67.35,0.01,82.2,34.5,0,,,,,0,13,99.99,4.10,90,-0.5,-0.2,1.01
591475,2026-07-02T22:29:04Z,14.31,-67.48,-0.00,82.2,34.5,0,,,,,0,12,99.99,4.12,92,-0.5,-0.3,1.01
596489,2026-07-02T22:29:09Z,14.19,-67.59,-0.01,82.2,34.4,0,,,,,0,12,99.99,4.11,91,-0.4,-0.2,1.01
601502,2026-07-02T22:29:14Z,14.16,-67.63,0.00,82.3,34.3,0,,,,,0,12,99.99,4.12,92,-0.4,-0.1,1.01
606515,2026-07-02T22:29:19Z,14.17,-67.59,0.00,82.3,34.2,0,,,,,0,13,99.99,4.11,91,-0.4,-0.2,1.01
611536,2026-07-02T22:29:24Z,14.31,-67.47,0.01,82.2,34.3,0,,,,,0,14,99.99,4.11,91,-0.5,-0.2,1.00
616547,2026-07-02T22:29:29Z,14.46,-67.29,0.01,82.2,34.2,0,,,,,0,14,99.99,4.10,90,-0.4,-0.2,1.01
621561,2026-07-02T22:29:34Z,14.32,-67.46,-0.01,82.2,34.2,0,,,,,0,14,99.99,4.12,92,-0.5,-0.2,1.01
626573,2026-07-02T22:29:39Z,14.20,-67.57,0.00,82.3,34.2,0,,,,,0,14,99.99,4.11,91,-0.4,-0.2,1.01
631587,2026-07-02T22:29:44Z,14.13,-67.67,-0.01,82.2,34.2,0,,,,,0,14,99.99,4.10,90,-0.4,-0.2,1.01
