millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
15025,,167.71,1176.95,0.06,85.4,46.5,0,,,,,0,1,99.99,4.05,85,18.6,3.3,0.97
20029,,167.94,1177.19,0.05,85.4,47.0,0,,,,,0,2,99.99,4.07,87,22.8,2.2,1.02
25029,,167.91,1177.13,0.03,85.4,45.7,0,,,,,0,2,99.99,4.05,85,23.6,-1.7,0.90
30030,,168.08,1177.23,0.03,85.4,45.2,0,,,,,0,2,99.99,4.06,86,19.8,-12.8,1.00
35033,,168.16,1177.58,0.14,85.4,45.3,0,,,,,0,2,99.99,4.06,86,24.4,-14.0,1.01
40034,,167.89,1177.08,-0.01,85.2,45.8,0,,,,,0,2,99.99,4.05,85,17.6,-9.0,0.98
45034,,167.66,1176.70,-0.06,85.2,46.1,0,,,,,0,2,99.99,4.05,85,19.6,-6.7,1.01
50034,,167.31,1176.78,0.10,85.1,47.4,0,,,,,0,2,99.99,4.06,86,0.6,-26.3,1.31
55034,,167.36,1176.82,0.00,85.2,49.7,0,,,,,0,3,99.99,4.05,85,-10.9,-29.7,0.99
60034,,167.44,1176.57,-0.06,85.1,49.8,0,,,,,0,3,99.99,4.05,85,-18.0,-34.0,1.01
65034,2026-07-06T10:43:43Z,167.20,1176.22,0.03,85.2,49.6,0,,,,,0,3,99.99,4.07,87,-28.4,-34.8,1.02
70034,2026-07-06T10:43:48Z,167.86,1177.35,0.43,85.1,49.3,0,,,,,0,3,99.99,4.05,85,-28.4,-35.3,1.01
75034,2026-07-06T10:43:53Z,168.37,1177.43,-0.02,85.1,49.5,0,,,,,0,3,99.99,4.05,85,-27.8,-34.5,1.01
80034,2026-07-06T10:43:58Z,167.51,1176.11,-0.32,85.2,49.6,0,,,,,0,3,99.99,4.05,85,-26.8,-33.9,1.02
85034,2026-07-06T10:44:03Z,167.61,1176.72,-0.03,85.1,49.7,0,,,,,0,3,99.99,4.07,87,-26.1,-33.5,1.01
