millis,iso_utc,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent,pitch_deg,roll_deg,g_force
135371,2026-07-06T11:49:05Z,7.85,1189.27,-0.05,93.5,41.3,1,46.955477,8.277309,436.00,0.93,12,5,0.85,3.99,79,15.8,11.2,0.95
140393,2026-07-06T11:49:10Z,7.77,1189.44,-0.00,93.3,40.3,1,46.955480,8.277298,435.70,0.43,12,6,0.85,4.00,80,14.3,9.4,0.99
145393,2026-07-06T11:49:15Z,7.61,1189.22,-0.03,93.4,40.4,1,46.955479,8.277296,436.10,0.46,12,6,0.85,3.99,79,-34.0,-18.4,1.18
150399,2026-07-06T11:49:20Z,6.58,1187.71,-0.30,93.5,42.1,1,46.955480,8.277295,435.60,0.44,12,8,0.85,3.99,79,19.0,-79.2,0.97
155400,2026-07-06T11:49:25Z,7.01,1186.56,-0.63,93.5,41.9,1,46.955481,8.277305,436.70,0.93,12,4,0.90,3.99,79,47.6,-123.2,0.93
160403,2026-07-06T11:49:30Z,6.69,1188.18,-0.09,93.5,41.6,1,46.955478,8.277314,436.90,0.17,12,4,0.84,3.99,79,38.1,-103.9,1.02
165406,2026-07-06T11:49:35Z,5.83,1186.77,-0.43,93.6,41.4,1,46.955480,8.277316,436.60,0.41,12,4,0.77,3.99,79,40.6,-95.8,1.09
170421,2026-07-06T11:49:40Z,5.53,1185.77,-0.51,93.6,41.6,1,46.955485,8.277314,436.10,0.52,12,4,0.77,3.99,79,7.8,-88.7,1.01
175440,2026-07-06T11:49:45Z,6.44,1187.39,0.03,93.7,41.5,1,46.955483,8.277320,437.20,2.07,12,4,0.82,3.99,79,18.8,-99.8,1.24
180460,2026-07-06T11:49:50Z,6.93,1188.47,0.05,93.7,41.4,1,46.955485,8.277325,437.30,0.76,12,4,0.75,3.99,79,17.7,-105.3,1.03
185478,2026-07-06T11:49:55Z,6.84,1188.56,-0.03,93.7,41.4,1,46.955483,8.277307,436.90,1.98,12,4,0.94,3.99,79,23.1,-100.4,1.06
190486,2026-07-06T11:50:00Z,7.40,1188.96,0.07,93.8,41.4,1,46.955481,8.277308,438.30,0.57,12,8,0.95,4.00,80,18.7,-107.1,1.04
195509,2026-07-06T11:50:05Z,7.05,1188.65,0.04,93.8,41.4,1,46.955477,8.277315,439.60,0.33,12,5,0.87,3.99,79,5.9,-105.7,1.03
200528,2026-07-06T11:50:10Z,7.17,1188.81,0.03,93.8,41.5,1,46.955481,8.277296,438.90,2.19,12,5,0.86,4.00,80,1.0,-100.6,1.05
205548,2026-07-06T11:50:15Z,7.06,1188.58,-0.07,93.9,41.5,1,46.955472,8.277304,438.70,1.74,12,5,0.80,3.99,79,16.4,-105.4,1.00
210566,2026-07-06T11:50:20Z,6.98,1188.57,-0.00,93.8,41.5,1,46.955455,8.277307,439.30,1.61,12,5,0.78,3.99,79,17.4,-107.1,0.99
215576,2026-07-06T11:50:25Z,6.91,1188.47,-0.02,93.9,41.6,1,46.955452,8.277329,441.90,0.63,12,8,0.77,3.99,79,16.5,-105.6,0.99
220590,2026-07-06T11:50:30Z,7.02,1188.67,0.01,94.0,41.7,1,46.955457,8.277320,439.80,1.52,12,8,0.77,3.99,79,11.6,-105.5,0.99
225613,2026-07-06T11:50:35Z,6.84,1188.41,-0.04,94.1,41.7,1,46.955459,8.277324,442.20,0.63,12,5,0.78,3.99,79,18.5,-112.6,0.96
230640,2026-07-06T11:50:40Z,7.42,1189.14,0.11,94.0,41.7,1,46.955459,8.277320,443.10,0.50,12,5,0.89,3.99,79,13.7,-102.8,1.07
235655,2026-07-06T11:50:45Z,8.45,1191.08,0.46,94.1,41.7,1,46.955462,8.277310,442.30,0.50,12,6,0.86,3.99,79,5.4,-91.6,1.00
240668,2026-07-06T11:50:50Z,6.98,1188.46,-0.02,94.1,41.6,1,46.955460,8.277304,441.40,0.98,12,5,1.04,3.99,79,16.3,-105.1,0.94
245685,2026-07-06T11:50:55Z,7.20,1188.75,-0.01,94.2,41.7,1,46.955458,8.277307,441.50,0.31,12,5,0.80,3.99,79,15.5,-107.9,1.00
250694,2026-07-06T11:51:00Z,7.39,1189.18,0.06,94.2,41.7,1,46.955459,8.277290,439.90,0.43,12,5,0.97,3.99,79,6.1,-106.5,0.97
255712,2026-07-06T11:51:05Z,7.56,1189.11,0.02,94.3,41.7,1,46.955449,8.277277,439.40,0.20,12,5,1.07,4.00,80,13.8,-106.6,1.01
260731,2026-07-06T11:51:10Z,7.57,1189.30,-0.02,94.3,41.7,1,46.955443,8.277300,442.40,2.39,12,5,0.86,3.99,79,16.9,-101.2,0.96
265747,2026-07-06T11:51:15Z,7.23,1189.56,0.04,94.3,41.6,1,46.955437,8.277328,445.90,0.72,12,4,0.85,3.99,79,-1.1,-87.0,0.94
270773,2026-07-06T11:51:21Z,7.51,1189.54,0.07,94.3,41.6,1,46.955447,8.277315,444.10,0.93,12,5,1.29,3.99,79,13.6,-104.7,1.03
275788,2026-07-06T11:51:26Z,7.19,1188.80,0.01,94.4,41.6,1,46.955443,8.277304,443.50,0.70,12,6,1.03,3.99,79,14.6,-108.2,0.98
280808,2026-07-06T11:51:31Z,7.75,1189.30,0.01,94.4,41.6,1,46.955441,8.277294,441.30,1.33,12,5,1.08,3.99,79,15.3,-108.9,1.01
285822,2026-07-06T11:51:36Z,7.91,1189.50,-0.04,94.5,41.6,1,46.955440,8.277294,441.10,1.80,12,5,1.08,3.99,79,15.4,-109.2,0.99
290838,2026-07-06T11:51:41Z,8.02,1189.75,0.02,94.5,41.6,1,46.955444,8.277286,439.50,0.72,12,5,0.90,3.99,79,24.1,-98.1,0.98
295857,2026-07-06T11:51:46Z,8.52,1190.01,0.02,94.6,41.6,1,46.955445,8.277265,437.30,2.07,12,4,1.05,3.99,79,18.6,-104.0,1.01
300877,2026-07-06T11:51:51Z,8.48,1190.06,0.00,94.5,41.5,1,46.955443,8.277266,438.10,0.61,12,5,0.90,3.99,79,17.4,-108.6,1.00
305900,2026-07-06T11:51:56Z,8.54,1190.28,0.06,94.6,41.5,1,46.955438,8.277259,437.80,0.65,12,5,0.93,3.99,79,15.1,-102.6,1.02
310915,2026-07-06T11:52:01Z,8.48,1189.98,-0.11,94.6,41.4,1,46.955438,8.277264,439.70,1.06,12,5,0.77,3.99,79,27.0,-111.4,0.98
315935,2026-07-06T11:52:06Z,8.34,1189.90,-0.02,94.7,41.3,1,46.955421,8.277267,441.60,2.44,12,5,0.88,3.99,79,26.7,-120.5,1.00
320951,2026-07-06T11:52:11Z,8.81,1190.48,0.09,94.7,41.3,1,46.955423,8.277268,441.10,1.54,12,4,0.90,3.99,79,17.8,-97.6,0.96
325972,2026-07-06T11:52:16Z,8.52,1190.20,-0.01,94.7,41.3,1,46.955419,8.277277,440.80,0.17,12,4,0.87,3.99,79,15.6,-102.6,1.04
330986,2026-07-06T11:52:21Z,8.74,1190.32,0.03,94.8,41.3,1,46.955414,8.277266,440.00,0.43,12,4,0.85,3.99,79,25.2,-103.3,1.02
336000,2026-07-06T11:52:26Z,8.49,1190.11,0.00,94.8,41.1,1,46.955396,8.277260,442.50,2.63,12,4,1.05,3.99,79,26.2,-105.2,0.97
341018,2026-07-06T11:52:31Z,7.68,1188.68,-0.32,94.9,40.9,1,46.955382,8.277218,441.90,4.87,12,4,0.79,3.99,79,12.4,-98.1,0.96
346035,2026-07-06T11:52:36Z,8.70,1190.95,0.26,94.9,40.3,1,46.955359,8.277174,441.00,3.13,12,4,0.89,4.00,80,16.8,-104.8,0.90
351049,2026-07-06T11:52:41Z,8.68,1190.49,0.12,94.9,40.2,1,46.955335,8.277150,443.30,1.46,12,4,0.78,3.99,79,25.7,-97.6,0.99
