millis,display_altitude_ft,raw_altitude_ft,vario_mps,temp_f,humidity_pct,gps_fix,latitude,longitude,gps_altitude_m,gps_speed_kmph,gps_sats_used,gps_sats_seen,gps_hdop,battery_voltage,battery_percent
85271,-0.69,-217.18,0.00,77.2,36.1,1,26.806814,-80.273814,8.00,0.28,12,2,0.59,,
90316,-0.68,-217.17,0.01,77.2,36.1,1,26.806812,-80.273813,7.30,0.20,12,3,0.70,,
95326,-0.71,-217.20,0.01,77.2,36.1,1,26.806808,-80.273813,6.40,0.22,12,2,0.58,,
100331,-0.73,-217.22,0.00,77.1,36.1,1,26.806806,-80.273813,5.80,0.70,12,2,0.63,,
105338,-0.75,-217.27,-0.00,77.2,36.1,1,26.806805,-80.273814,5.20,0.11,12,10,0.64,,
110349,-0.77,-217.24,0.01,77.2,36.0,1,26.806805,-80.273812,4.80,0.33,12,2,0.65,,
115357,-0.80,-217.32,-0.01,77.2,35.9,1,26.806805,-80.273810,4.30,0.44,12,2,0.65,,
120357,-0.82,-217.27,0.02,77.1,36.0,1,26.806806,-80.273811,3.30,0.31,12,10,0.66,,
125357,-0.83,-217.33,0.01,77.2,36.0,1,26.806805,-80.273809,2.90,0.06,12,12,0.65,,
130357,-0.85,-217.37,-0.01,77.1,36.0,1,26.806801,-80.273810,2.70,1.81,12,11,0.62,,
135369,-0.88,-217.38,0.00,77.2,36.1,1,26.806797,-80.273812,2.60,0.00,12,2,0.65,,
140369,-0.89,-217.39,0.00,77.2,36.1,1,26.806798,-80.273814,2.50,0.13,12,11,0.65,,
145369,-0.90,-217.41,-0.00,77.2,36.0,1,26.806801,-80.273815,2.60,0.07,12,3,0.68,,
150374,-0.92,-217.41,0.01,77.1,36.0,1,26.806804,-80.273817,2.80,0.13,12,3,0.69,,
155398,-0.92,-217.40,0.01,77.1,36.0,1,26.806808,-80.273816,3.20,0.19,12,11,0.76,,
160401,-0.96,-217.47,-0.01,77.2,36.1,1,26.806806,-80.273819,2.90,0.26,12,2,0.68,,
165423,-0.96,-217.44,0.01,77.2,36.1,1,26.806806,-80.273818,3.20,0.22,12,2,0.66,,
170423,-0.97,-217.46,0.00,77.1,36.1,1,26.806806,-80.273816,3.60,0.11,12,2,0.64,,
175433,-0.97,-217.47,-0.00,77.1,36.1,1,26.806808,-80.273817,3.70,0.20,12,10,0.68,,
180433,-1.00,-217.52,-0.00,77.1,36.1,1,26.806810,-80.273818,3.80,0.17,12,10,0.65,,
185433,-1.02,-217.53,-0.01,77.1,36.1,1,26.806812,-80.273819,3.30,0.31,12,10,0.62,,
190445,-1.03,-217.54,0.00,77.1,36.1,1,26.806814,-80.273819,3.80,0.04,12,3,0.72,,
195445,-1.04,-217.56,0.00,77.1,36.1,1,26.806812,-80.273821,3.10,0.33,12,10,0.61,,
200489,-1.06,-217.55,0.01,77.1,36.0,1,26.806813,-80.273824,2.90,0.20,12,2,0.60,,
205511,-1.07,-217.60,-0.01,77.0,36.0,1,26.806813,-80.273826,2.80,0.30,12,2,0.60,,
210534,-1.13,-217.63,-0.01,77.0,36.1,1,26.806814,-80.273827,2.30,0.37,12,2,0.59,,
215560,-1.13,-217.62,0.00,77.0,36.0,1,26.806815,-80.273826,1.90,0.15,12,10,0.58,,
220568,-1.13,-217.65,-0.00,77.0,36.0,1,26.806817,-80.273825,2.80,0.43,12,10,0.57,,
225589,-1.14,-217.63,0.01,77.0,36.1,1,26.806819,-80.273825,3.80,0.33,12,2,0.57,,
230589,-1.12,-217.64,-0.00,77.1,36.0,1,26.806819,-80.273825,4.40,0.07,12,2,0.60,,
235614,-1.13,-217.64,0.00,77.0,36.1,1,26.806814,-80.273823,5.00,0.22,12,2,0.57,,
240632,-1.19,-217.69,-0.01,77.1,36.1,1,26.806811,-80.273822,4.70,0.24,12,2,0.58,,
245675,-1.20,-217.71,-0.00,77.0,36.0,1,26.806807,-80.273824,3.10,0.17,12,10,0.60,,
250675,-1.16,-217.66,0.01,77.0,36.1,1,26.806809,-80.273826,2.40,0.19,12,2,0.57,,
255701,-1.20,-217.69,0.01,77.1,36.1,1,26.806811,-80.273828,2.40,0.26,12,2,0.58,,
260740,-1.22,-217.71,0.00,77.0,36.1,1,26.806809,-80.273834,2.90,0.22,12,10,0.60,,
265776,-1.24,-217.75,0.00,77.0,36.1,1,26.806810,-80.273836,3.10,0.43,12,2,0.59,,
270776,-1.23,-217.71,0.01,77.0,36.1,1,26.806812,-80.273838,3.60,0.26,12,2,0.59,,
275830,-1.22,-217.78,-0.02,77.0,36.1,1,26.806813,-80.273837,3.90,0.07,12,2,0.60,,
280847,-1.22,-217.74,-0.01,77.0,36.1,1,26.806813,-80.273834,4.20,0.28,12,2,0.58,,
285866,-1.22,-217.71,0.00,77.0,36.1,1,26.806814,-80.273831,3.90,0.17,12,10,0.59,,
290894,-1.20,-217.73,-0.01,77.0,36.0,1,26.806816,-80.273827,4.10,0.15,12,2,0.59,,
295932,-1.20,-217.70,-0.01,77.0,36.0,1,26.806818,-80.273824,4.80,0.15,12,2,0.59,,
300954,-1.22,-217.75,-0.01,77.1,36.0,1,26.806820,-80.273821,5.40,0.26,12,10,0.59,,
305954,-1.19,-217.68,0.01,77.1,36.0,1,26.806823,-80.273821,6.40,0.20,12,2,0.59,,
310954,-1.22,-217.71,0.00,77.1,35.9,1,26.806827,-80.273822,6.70,0.20,12,9,0.60,,
315999,-1.23,-217.74,-0.00,77.1,35.9,1,26.806828,-80.273823,6.60,0.26,12,10,0.61,,
321011,-1.23,-217.72,0.01,77.1,35.9,1,26.806832,-80.273824,7.20,0.20,12,2,0.65,,
326031,-1.21,-217.71,0.01,77.1,35.9,1,26.806834,-80.273827,7.80,0.33,12,11,0.59,,
331031,-1.23,-217.76,-0.01,77.1,35.9,1,26.806832,-80.273830,8.00,0.24,12,2,0.58,,
336058,-1.21,-217.70,0.00,77.1,35.9,1,26.806828,-80.273831,7.50,0.22,12,10,0.58,,
341059,-1.20,-217.72,-0.01,77.1,35.9,1,26.806825,-80.273832,7.20,0.19,12,10,0.58,,
346093,-1.19,-217.70,-0.00,77.1,35.9,1,26.806824,-80.273832,6.90,0.04,12,2,0.59,,
351113,-1.18,-217.69,0.00,77.2,35.8,1,26.806822,-80.273832,6.90,0.13,12,2,0.65,,
356139,-1.14,-217.63,0.00,77.2,35.8,1,26.806822,-80.273831,6.70,0.13,12,10,0.63,,
361139,-1.14,-217.64,0.00,77.2,35.8,1,26.806822,-80.273831,6.90,0.11,12,10,0.65,,
366140,-1.14,-217.64,0.01,77.2,35.7,1,26.806821,-80.273832,6.60,0.43,12,10,0.62,,
371183,-1.11,-217.61,0.01,77.2,35.8,1,26.806822,-80.273833,6.40,0.31,12,2,0.60,,
376183,-1.12,-217.62,0.01,77.1,35.7,1,26.806826,-80.273835,6.60,0.15,12,2,0.56,,
381187,-1.09,-217.59,0.01,77.1,35.8,1,26.806824,-80.273835,6.60,0.13,12,2,0.58,,
386194,-1.05,-217.56,0.01,77.1,35.8,1,26.806820,-80.273834,6.20,0.56,12,2,0.59,,
391200,-1.10,-217.58,0.01,77.1,35.8,1,26.806815,-80.273833,6.10,0.30,12,2,0.56,,
396201,-1.07,-217.57,-0.00,77.1,35.8,1,26.806815,-80.273834,6.70,0.17,12,2,0.55,,
401201,-1.10,-217.62,-0.02,77.1,35.8,1,26.806819,-80.273832,7.50,0.09,12,2,0.53,,
406205,-1.06,-217.55,0.01,77.1,35.8,1,26.806825,-80.273831,7.80,0.30,12,10,0.55,,
411219,-1.07,-217.61,-0.01,77.1,35.8,1,26.806832,-80.273832,7.80,0.19,12,2,0.58,,
416252,-1.06,-217.54,0.00,77.1,35.8,1,26.806832,-80.273831,8.30,0.09,12,2,0.60,,
421252,-1.03,-217.51,0.01,77.1,35.8,1,26.806830,-80.273828,8.80,0.43,12,2,0.58,,
426255,-1.03,-217.55,-0.00,77.1,35.8,1,26.806829,-80.273829,8.00,0.35,12,3,0.61,,
431255,-1.02,-217.50,0.01,77.1,35.8,1,26.806833,-80.273827,8.20,0.19,12,3,0.58,,
436255,-1.00,-217.50,0.01,77.1,35.8,1,26.806830,-80.273826,8.20,0.33,12,9,0.60,,
441256,-1.03,-217.52,0.01,77.1,35.8,1,26.806826,-80.273824,8.10,0.19,12,9,0.62,,
446264,-1.04,-217.52,0.01,77.1,35.7,1,26.806822,-80.273821,8.00,0.20,12,10,0.63,,
451267,-1.02,-217.52,0.00,77.1,35.8,1,26.806819,-80.273818,8.10,0.09,12,2,0.56,,
456293,-1.04,-217.54,-0.00,77.1,35.8,1,26.806816,-80.273814,8.50,0.46,12,10,0.58,,
461296,-1.04,-217.50,0.01,77.1,35.8,1,26.806816,-80.273811,8.50,0.20,12,2,0.58,,
466331,-1.08,-217.59,-0.01,77.1,35.8,1,26.806815,-80.273808,8.00,0.30,12,10,0.56,,
471355,-1.08,-217.58,0.01,77.0,35.8,1,26.806814,-80.273804,7.60,0.26,12,9,0.57,,
476355,-1.08,-217.57,-0.00,77.0,35.8,1,26.806813,-80.273802,7.20,0.06,12,10,0.53,,
481355,-1.10,-217.62,-0.01,77.0,35.8,1,26.806814,-80.273800,6.90,0.13,12,2,0.53,,
486355,-1.09,-217.59,-0.00,76.9,35.8,1,26.806815,-80.273798,7.40,0.26,12,3,0.56,,
491394,-1.07,-217.55,0.02,77.0,35.9,1,26.806818,-80.273799,8.00,0.09,12,3,0.60,,
496425,-1.12,-217.67,-0.01,77.0,35.8,1,26.806821,-80.273803,8.30,0.48,12,3,0.59,,
501465,-1.07,-217.60,-0.01,77.0,35.8,1,26.806823,-80.273807,8.20,0.44,12,9,0.58,,
506465,-1.07,-217.55,0.00,77.0,35.8,1,26.806827,-80.273808,9.00,0.17,12,10,0.60,,
511465,-1.06,-217.53,0.01,77.0,35.8,1,26.806828,-80.273809,9.50,0.33,12,10,0.57,,
516502,-1.04,-217.54,0.01,77.0,35.9,1,26.806829,-80.273811,9.70,0.35,12,10,0.58,,
521504,-1.06,-217.57,-0.00,77.0,35.9,1,26.806829,-80.273811,10.10,0.15,12,3,0.55,,
526532,-1.07,-217.60,-0.01,77.0,35.9,1,26.806829,-80.273813,10.80,0.04,12,3,0.60,,
531532,-1.06,-217.55,-0.00,77.0,35.9,1,26.806828,-80.273814,10.40,0.24,12,2,0.61,,
536542,-1.04,-217.57,-0.01,77.0,35.8,1,26.806825,-80.273816,9.30,0.15,12,10,0.61,,
541576,-1.06,-217.57,-0.01,77.0,35.8,1,26.806823,-80.273818,8.10,0.04,12,10,0.66,,
546581,-1.06,-217.56,0.00,77.0,35.8,1,26.806819,-80.273820,7.00,0.33,12,2,0.65,,
551619,-1.04,-217.54,0.00,77.0,35.7,1,26.806816,-80.273818,6.30,0.07,12,3,0.56,,
556651,-1.02,-217.55,-0.01,77.0,35.8,1,26.806814,-80.273816,5.90,0.54,12,9,0.59,,
561667,-0.99,-217.52,-0.00,77.0,35.9,1,26.806813,-80.273814,6.20,0.04,12,3,0.57,,
566684,-0.96,-217.48,-0.00,77.0,35.9,1,26.806812,-80.273809,5.60,0.17,12,3,0.58,,
571684,-0.93,-217.43,0.01,76.9,35.9,1,26.806811,-80.273806,5.10,0.13,12,3,0.55,,
576703,-0.91,-217.44,-0.02,77.0,35.9,1,26.806810,-80.273807,5.50,0.13,12,3,0.56,,
581705,-0.88,-217.43,-0.01,76.9,35.7,1,26.806809,-80.273807,6.00,0.17,12,3,0.58,,
586706,-0.87,-217.38,-0.01,77.0,35.8,1,26.806811,-80.273805,6.80,0.09,12,10,0.57,,
591807,-0.79,-217.28,0.01,77.0,35.8,1,26.806811,-80.273807,7.20,0.02,12,3,0.63,,
596807,-0.79,-217.27,0.00,76.9,35.8,1,26.806814,-80.273807,7.90,0.24,12,3,0.61,,
601810,-0.75,-217.25,0.01,77.0,35.8,1,26.806815,-80.273807,8.20,0.26,12,11,0.70,,
606826,-0.76,-217.25,0.02,76.9,35.8,1,26.806815,-80.273811,9.70,0.26,12,3,0.64,,
611828,-0.75,-217.25,0.01,77.0,35.8,1,26.806817,-80.273811,10.30,0.06,12,3,0.71,,
616829,-0.74,-217.26,-0.01,76.9,35.8,1,26.806816,-80.273815,10.30,0.06,12,3,0.57,,
621868,-0.68,-217.16,0.01,76.9,35.8,1,26.806814,-80.273821,10.30,0.24,12,3,0.56,,
626891,-0.68,-217.20,0.00,76.9,35.8,1,26.806817,-80.273825,11.00,0.07,12,3,0.57,,
631930,-0.64,-217.14,0.00,76.9,35.8,1,26.806822,-80.273826,11.20,0.17,12,3,0.55,,
636930,-0.59,-217.06,0.00,77.0,35.8,1,26.806823,-80.273827,11.40,0.93,12,3,0.55,,
641930,-0.58,-217.09,-0.01,76.9,35.8,1,26.806824,-80.273826,12.20,0.19,12,3,0.54,,
646953,-0.53,-217.03,0.01,76.9,35.8,1,26.806826,-80.273825,12.30,0.24,12,3,0.58,,
651967,-0.51,-217.01,-0.00,76.9,35.8,1,26.806827,-80.273830,12.30,0.17,12,3,0.55,,
656970,-0.41,-216.88,0.02,76.9,35.8,1,26.806829,-80.273832,12.20,0.31,12,3,0.61,,
661991,-0.34,-216.84,0.00,76.9,35.8,1,26.806830,-80.273828,11.60,0.06,12,10,0.59,,
667036,-0.32,-216.82,0.00,76.9,35.7,1,26.806829,-80.273826,10.70,0.07,12,3,0.56,,
672077,-0.25,-216.73,0.01,76.9,35.8,1,26.806829,-80.273825,10.00,0.30,12,3,0.60,,
677077,-0.22,-216.71,0.01,76.9,35.7,1,26.806827,-80.273822,9.20,0.15,12,10,0.61,,
682101,-0.17,-216.66,0.01,76.8,35.8,1,26.806822,-80.273824,8.90,0.24,12,10,0.59,,
687104,-0.13,-216.65,-0.00,76.8,35.9,1,26.806819,-80.273823,8.80,0.19,12,2,0.60,,
692104,-0.09,-216.59,0.00,76.9,35.9,1,26.806815,-80.273823,9.30,0.26,12,2,0.58,,
697104,-0.02,-216.53,-0.00,76.9,35.9,1,26.806812,-80.273823,9.00,0.06,12,3,0.65,,
702141,0.00,-216.52,-0.01,76.8,35.8,1,26.806811,-80.273822,8.80,0.20,12,11,0.62,,
707170,0.08,-216.41,-0.00,76.8,35.8,1,26.806809,-80.273824,8.70,0.31,12,2,0.65,,
712173,0.14,-216.38,0.00,76.8,35.8,1,26.806807,-80.273829,9.00,0.26,12,10,0.68,,
717181,0.22,-216.26,0.02,76.7,35.8,1,26.806806,-80.273833,9.30,0.09,12,9,0.69,,
722218,0.28,-216.22,0.01,76.8,35.9,1,26.806805,-80.273833,9.60,0.11,12,3,0.67,,
727229,0.37,-216.15,0.01,76.8,35.8,1,26.806805,-80.273834,9.60,0.28,12,3,0.60,,
732249,0.43,-216.06,0.01,76.8,35.8,1,26.806807,-80.273836,10.30,0.09,12,3,0.61,,
737292,0.47,-216.05,-0.01,76.8,35.9,1,26.806812,-80.273837,11.10,0.69,12,3,0.69,,
742294,0.57,-215.92,0.01,76.8,35.8,1,26.806810,-80.273837,10.80,0.20,12,3,0.74,,
747302,0.64,-215.82,0.01,76.8,35.8,1,26.806807,-80.273835,10.10,0.43,12,3,0.79,,
752309,0.68,-215.84,-0.02,76.8,35.8,1,26.806805,-80.273833,9.40,0.22,12,4,0.94,,
757351,0.80,-215.71,0.01,76.8,35.8,1,26.806801,-80.273832,9.00,0.44,12,3,0.94,,
762351,0.88,-215.63,0.00,76.8,35.8,1,26.806799,-80.273829,9.00,0.06,12,10,0.98,,
767351,0.96,-215.52,0.00,76.8,35.8,1,26.806804,-80.273826,9.30,0.22,12,10,0.94,,
772357,1.05,-215.45,0.00,76.8,35.8,1,26.806807,-80.273825,9.20,0.22,12,3,0.79,,
777390,1.12,-215.38,0.01,76.8,35.8,1,26.806804,-80.273825,8.60,0.35,12,4,0.72,,
782397,1.21,-215.31,0.00,76.8,35.8,1,26.806802,-80.273824,8.10,0.54,12,9,0.70,,
787397,1.29,-215.22,-0.00,76.8,35.8,1,26.806803,-80.273823,7.80,0.28,12,9,0.68,,
792397,1.39,-215.10,0.00,76.8,35.8,1,26.806806,-80.273821,8.00,0.41,12,4,0.65,,
797398,1.45,-215.06,-0.00,76.8,35.8,1,26.806808,-80.273820,8.00,0.06,12,3,0.65,,
802400,1.55,-214.96,0.01,76.8,35.7,1,26.806808,-80.273819,8.00,0.20,12,4,0.63,,
807404,1.65,-214.84,0.01,76.8,35.6,1,26.806810,-80.273820,8.40,0.39,12,5,0.65,,
812404,1.74,-214.75,0.01,76.9,35.6,1,26.806810,-80.273821,8.50,0.19,12,5,0.71,,
817404,1.80,-214.70,0.00,76.8,35.7,1,26.806803,-80.273821,8.90,0.31,12,4,0.69,,
822404,1.89,-214.61,0.01,76.9,35.7,1,26.806796,-80.273822,9.20,0.07,12,4,0.68,,
827431,1.95,-214.54,0.01,76.9,35.7,1,26.806796,-80.273823,9.70,0.04,12,9,0.57,,
832434,2.04,-214.49,0.01,76.9,35.7,1,26.806798,-80.273824,10.20,0.41,12,9,0.60,,
837455,2.13,-214.34,0.01,76.9,35.6,1,26.806795,-80.273825,10.50,0.30,12,3,0.66,,
842490,2.19,-214.29,0.01,76.9,35.7,1,26.806793,-80.273832,11.30,0.37,12,3,0.65,,
847526,2.23,-214.27,-0.00,76.9,35.7,1,26.806794,-80.273841,12.40,0.26,12,10,0.57,,
852545,2.32,-214.18,0.00,76.9,35.6,1,26.806800,-80.273849,14.70,0.41,12,3,0.60,,
857547,2.40,-214.09,0.01,76.8,35.7,1,26.806806,-80.273854,16.60,0.39,12,10,0.63,,
862549,2.46,-214.04,0.01,76.9,35.6,1,26.806811,-80.273858,18.00,0.48,12,10,0.62,,
867573,2.44,-214.08,-0.00,76.9,35.7,1,26.806812,-80.273856,17.80,0.22,12,3,0.64,,
872611,2.54,-213.93,0.02,76.8,35.7,1,26.806810,-80.273853,17.00,0.13,12,4,0.70,,
877653,2.58,-213.91,0.01,76.9,35.7,1,26.806808,-80.273852,16.30,0.15,12,9,0.58,,
882693,2.65,-213.85,0.01,76.8,35.6,1,26.806806,-80.273848,14.90,0.06,12,4,0.56,,
887714,2.72,-213.78,0.01,76.8,35.7,1,26.806810,-80.273845,14.70,0.37,12,4,0.57,,
892718,2.75,-213.76,-0.00,76.8,35.7,1,26.806815,-80.273844,14.90,0.04,12,8,0.56,,
897729,2.81,-213.68,0.01,76.8,35.7,1,26.806813,-80.273844,14.80,0.15,12,4,0.58,,
902763,2.87,-213.62,0.01,76.8,35.7,1,26.806810,-80.273846,14.10,0.13,12,3,0.61,,
907805,2.89,-213.63,-0.00,76.8,35.8,1,26.806807,-80.273845,13.40,0.11,12,3,0.64,,
912836,2.92,-213.56,0.01,76.8,35.8,1,26.806808,-80.273847,13.20,0.24,12,3,0.64,,
917856,2.97,-213.54,-0.00,76.8,35.8,1,26.806807,-80.273845,12.10,0.17,12,10,0.57,,
922903,3.01,-213.52,-0.01,76.8,35.8,1,26.806812,-80.273842,12.20,0.02,12,4,0.62,,
927944,3.02,-213.48,0.00,76.8,35.9,1,26.806815,-80.273838,12.30,0.13,12,10,0.61,,
932978,3.04,-213.46,0.00,76.8,36.0,1,26.806817,-80.273833,11.80,0.24,12,3,0.64,,
938024,3.05,-213.44,0.00,76.8,35.9,1,26.806817,-80.273827,10.70,0.20,12,10,0.61,,
943045,3.05,-213.44,-0.00,76.8,36.0,1,26.806818,-80.273829,11.00,0.11,12,2,0.61,,
948098,3.09,-213.44,-0.00,76.8,36.0,1,26.806816,-80.273825,10.70,0.13,12,2,0.63,,
953100,3.07,-213.46,-0.01,76.8,36.1,1,26.806814,-80.273817,9.50,0.07,12,3,0.64,,
958134,3.07,-213.43,-0.00,76.8,36.1,1,26.806808,-80.273815,8.10,0.07,12,11,0.58,,
963161,3.07,-213.46,-0.01,76.8,36.1,1,26.806806,-80.273812,6.60,0.20,12,9,0.66,,
968190,3.08,-213.45,0.00,76.8,36.1,1,26.806805,-80.273813,6.10,0.17,12,2,0.61,,
973219,3.08,-213.44,-0.01,76.9,36.1,1,26.806807,-80.273818,7.10,0.17,12,3,0.62,,
